701;20220609;20220618;20220707;BRL;5ff4b4a6bbba4f4f57800c923a1fd341;69914.00;f
702;20220615;20220625;20220718;BRL;e241e18e1badc7c331b0cdf332a9514e;25917.00;t
703;20220823;20220901;0;BRL;f96cbb7d68c6c58a77ba3a4f487c5249;36979.00;t
704;20220616;20220622;20220719;BRL;a697b20db53b5dd3231f50687cb53356;48160.00;t
705;20220616;20220721;20220817;BRL;62de108aa5b4ab6ef098ab33e5713623;55235.00;t
706;20220617;20220625;20220715;BRL;59be817613870b35e6ba56520329b752;107011.00;f
707;20220619;20220630;20220718;BRL;0c03dc2c46cf3caecda00a9238e74dc0;54238.00;t
708;20220619;20220630;20220728;BRL;4e38cca7a56d006c39ac54ffec77d0b1;29120.00;t
709;20220621;20220729;20220827;BRL;1dcbff22f14684746efc80f169804d2c;42942.00;f
710;20220621;20220629;20220725;BRL;457de2aec9e034e384fef79e72be42c7;60842.00;f
711;20220811;20220823;0;BRL;28d9ca0da758f04c96f23a33643eb396;48718.00;t
712;20220626;20220702;20220729;BRL;51d7698b865e0bb6eb8c3022ed5c8d92;9298.00;f
713;20220624;20220702;20220722;BRL;c94250b95dd7636eb8a7f8f02afc65a3;96725.00;f
714;20220802;20220804;20220830;BRL;5d7c1422a3ebaed9a71b95a149857c3f;29823.00;f
715;20220726;20220812;20220826;UYP;a5ddbc2003b53b9bae87cde7e34cb01e;124164.00;f
716;20220626;20220706;20220726;BRL;09f3910e7c1d62f962d6c5f13ea64e3c;75897.00;f
717;20220628;20220707;0;BRL;c3011a7e86d80e617f29867d8474410e;17156.00;f
718;20220627;20220706;0;BRL;a89df4777f1fdb9024fdd47288bfdc69;46018.00;t
719;20220627;20220716;20220726;BRL;50ff786c7f66cfd8eae8bfd8669201b2;80436.00;f
720;20220627;20220716;20220726;BRL;658d19dc13ed058de38db24ee98d209a;47557.00;f
721;20220629;20220711;0;BRL;a5584ef502f84e4df6455caf2989ae7f;13646.00;f
722;20220627;20220727;20220826;UYP;293412ed64c7ffd1d9ddcc365049eaad;353646.00;f
723;20220628;20220706;20220726;BRL;f5f0859432c89e492bb79c966ccbfeca;15838.00;f
724;20220629;20220714;20220809;BRL;519a469133f1b44d59d2ecb6378aa5fa;28388.00;f
725;20220629;20220706;20220727;BRL;683ae1b8e9dafe08dce7dbd8f323a18d;83378.00;f
726;20220629;20220707;0;BRL;683ae1b8e9dafe08dce7dbd8f323a18d;16615.00;f
727;20220629;20220708;20220727;BRL;d56eb3599d3b63fa5f14103a9ccfe6fa;50064.00;f
728;20220630;20220706;20220728;BRL;78c5c95be8754ff014fa40b4da92409b;81245.00;f
729;20220701;20220708;20220803;BRL;9b15600ebf67cb2d6848391b528935f3;62199.00;f
730;20220630;20220716;20220810;BRL;8d936df43969b1f66554909b3ded55cc;87967.00;f
731;20220630;20220709;20220808;BRL;7ce4f37923a767df40557bfda38e7c34;11318.00;t
732;20220701;20220709;20220804;BRL;b149821d8f056b1e08ad32ab5696ffb0;78404.00;f
733;20220702;20220706;0;BRL;e6d4c682d874bfee7f2750e1b702c384;106415.00;f
734;20220704;20220731;20220902;BRL;f3ed509085f6da0d5fb4fa5e40ec3156;80549.00;f
735;20220708;20220720;20220816;BRL;37d29f3ea2a37bb73cadc4e60ef9a149;14396.00;f
736;20220707;20220721;20220804;BRL;b42bd86f53cd60c0f587b5be7d95c216;14.00;f
737;20220706;20220714;20220808;BRL;811acbd8d25857001ae76b3fdf11db34;62160.00;f
738;20220707;20220714;20220805;BRL;7e0d420993246d0dc4c768c42433a945;176251.00;f
